Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~FeedbackPCB.PrjPcb|ReportField=ProjectFullPath~C:\Users\rafae\OneDrive\Documentos\Estudos\TG\FeedbackPCB\FeedbackPCB.PrjPcb|ReportField=Title~Bill of Materials For Schematic Document [FeedbackCC1.SchDoc]|ReportField=TotalQuantity~30|ReportField=ReportTime~20:07:41|ReportField=ReportDate~31/10/2020|ReportField=ReportDateTime~31/10/2020 20:07:41|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~31/10/2020|ReportField=CurrentTime~20:07:15|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\rafae\OneDrive\Documentos\Estudos\TG\FeedbackPCB\FeedbackCC1.SchDoc|ReportField=DocumentName~FeedbackCC1.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~31/10/2020|ReportField=Organization~|ReportField=ProjectName~FeedbackPCB.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~FeedbackCC1.SchDoc|ReportField=DataSourceFullPath~C:\Users\rafae\OneDrive\Documentos\Estudos\TG\FeedbackPCB\FeedbackCC1.SchDoc
10uF|Capacitor|C1, C2|C-TANTALUM-CASE-A|Capacitor-2|2
1uF|Capacitor|C3, C4, C5|0603|Capacitor-1|3
D. Zener - SOT23-3 2NC|Zener Diode SOT23 - 2NC|D1, D2, D3|SOT-23-3|D. Zener - SOT23-3 2NC|3
Header 1x2|Header 1X2|HDR1, HDR3, HDR4, HDR5, HDR6, HDR7|HEADER-1X2-KK|Header 1x2|6
Header 1x3|Header 1X3|HDR2|Header-1x3-KK|Header 1x3|1
1KR|Resistor|R1, R2, R3, R4, R7, R10|0603|Resistor-1|6
47KR|Resistor|R5, R8|0603|Resistor-1|2
10KR|Resistor|R6, R9|0603|Resistor-1|2
0R|Resistor|R11, R12|0603|Resistor-1|2
VoltReg-5V|CI Voltage Regulator 5V|U1|SOT-223|VoltReg-5V|1
AmpOp-2u|AmpOp Single Supply IC Rail-to-Rail with 2 units|U2, U3|SOIC-8|AmpOp-2u|2
